"Name","year","month","TEMP","TP","TN","SI","CHLcal","openwater","Devl","Decid","MixedEvergreen","PastureHay","CultCrops","Wetlands","Basin_Size_km2"
"Apple",2004,4,9.7,0.106,6.473,1.832,8.86984,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2004,4,5.6,0.154,2.205,2.945,2.35488,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2004,4,10.9,0.166,4.997,5.168,44.70212,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2004,4,5.3,0.09,1.421,4.028,1.38644,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2004,4,13.4,0.145,1.447,4.568,2.619,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2004,4,13.2,0.318,1.894,3.958,12.83164,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Vermillion",2004,4,11.2,0.24,3.241,2.135,97.17396,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2004,4,12.8,0.226,10.497,3.854,24.45292,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2005,4,15.15,0.117,2.7865,0.961,25.1605,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2005,4,12.2,0.221,1.5595,3.1165,4.1859,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2005,4,12.05,0.1825,5.595,6.043,19.9432,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2005,4,9.3,0.1125,1.526,4.1995,6.2939,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2005,4,17.8,0.094,1.1205,1.3255,34.8573,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2005,4,18.7,0.431,2.595,2.877,12.0382,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2005,4,16.25,0.1405,5.903,1.71,51.4578,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2005,4,11.95,0.1585,4.659,5.301,25.424,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2005,4,16.85,0.2505,5.447,0.0025,115.9626,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2006,4,10.15,0.526,7.4315,4.2695,9.73326,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2006,4,10.6,0.1855,1.889,3.3795,12.15526,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2006,4,10.15,0.1335,8.008,6.3955,26.08176,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2006,4,8.4,0.1455,1.421,4.482,13.06351,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2006,4,18,0.1255,0.9445,1.582,25.65791,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2006,4,17.6,0.4925,4.5085,4.005,22.50931,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2006,4,12.5,0.5865,9.829,3.258,26.92946,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2006,4,10.7,0.125,6.476,6.6645,33.89271,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2006,4,11.7,0.2685,12.005,3.554,23.41756,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2007,4,9.5,0.467,6.4255,3.859,4.96388,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2007,4,12.1,0.147333333,1.372,3.161333333,19.37472333,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2007,4,8.15,0.1795,6.6735,6.2355,30.85777,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2007,4,8.25,0.137,1.63,4.0635,18.481175,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2007,4,11.95,0.259,1.681,2.8175,3.423935,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2007,4,12.7,0.363,1.953,2.2355,4.450565,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2007,4,10.55,0.3165,10.175,4.679,2.967655,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2007,4,9,0.173,4.9845,5.804,33.82359,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2007,4,10.2,0.194,9.117,4.4645,5.134985,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2008,4,7.833333333,0.407333333,5.648,4.134,10.70512,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2008,4,8.2,0.12,1.5645,2.488,5.27893,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2008,4,6.133333333,0.181333333,5.680333333,6.036666667,27.4039,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2008,4,5.066666667,0.114666667,1.555666667,4.965666667,7.01458,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2008,4,13.4,0.309666667,2.375333333,4.452,7.52614,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2008,4,13.66666667,0.339333333,1.883,3.182,17.24578,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2008,4,9.166666667,0.669,8.684666667,4.699666667,4.82218,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2008,4,7.8,0.119333333,4.337333333,5.747666667,26.38078,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2008,4,8.9,0.197,6.825,3.946666667,8.84158,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2009,4,7.2,0.058,4.261,2.448,5.3452,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2009,4,7.4,0.136,1.4935,4.136,14.1904,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2009,4,8,0.111,2.9895,3.609,37.324,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2009,4,8.1,0.0845,1.516,3.759,24.7933,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2009,4,12.85,0.185,1.9855,4.481,7.6699,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2009,4,12.05,0.3045,2.474,2.4055,19.2367,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2009,4,9.8,0.1265,5.573,3.247,22.4686,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2009,4,8.35,0.1295,2.5615,5.4395,26.4943,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2009,4,10.25,0.176,4.8095,2.008,61.0246,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2010,4,12.4,0.2005,4.4405,3.038,12.4203,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2010,4,12.15,0.1115,1.238,3.6925,24.43098,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2010,4,12,0.1145,4.773,3.9315,57.67266,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2010,4,10.95,0.084,1.503,3.889,31.8315,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2010,4,17.65,0.231,1.446,2.709,11.32842,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2010,4,19.8,0.2625,2.002,2.394,17.51574,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2010,4,11.15,0.519,7.383,4.401,14.05812,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2010,4,12.65,0.1645,4.0885,4.6905,78.60036,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2010,4,14.65,0.1635,5.6085,2.464,69.56202,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2011,4,9.45,0.0865,4.0405,2.4985,11.75135,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2011,4,5.4,0.094,1.148,2.9795,1.541425,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2011,4,7.35,0.167,5.3225,7.705,11.6023,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2011,4,6.05,0.1645,2.298,5.721,6.5346,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2011,4,14.05,0.104,1.183,1.3615,35.822925,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2011,4,14.4,0.2915,2.116,2.4905,24.1225,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2011,4,8.95,0.111,7.1615,4.65,6.609125,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2011,4,7.35,0.168,5.357,4.2595,10.782525,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2011,4,8.65,0.1515,7.0295,3.0405,47.6724,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2012,4,12.5,0.113,3.726,3.275,3.73044,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2012,4,12.3,0.144,1.334,3.6525,16.07428,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2012,4,12.2,0.1075,3.44,2.735,43.7962,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2012,4,11.15,0.085,1.5135,4.398,20.21188,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2012,4,17.9,0.355,2.96,3.292,8.90244,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2012,4,16.4,0.38,2.617,3.514,4.21316,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2012,4,13.7,0.321,8.057,4.8475,7.17844,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2012,4,14,0.1405,3.2585,4.9985,60.41556,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2012,4,14.25,0.423,7.615,2.83,87.51684,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2013,4,10.6,0.176,5.575666667,2.487333333,19.24916333,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2013,4,5.5,0.317333333,1.937666667,1.916,5.059893333,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2013,4,6.366666667,0.467,6.908,5.383666667,21.10918,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2013,4,4.433333333,0.183,1.936666667,4.03,5.8039,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2013,4,11.9,0.368,4.368666667,3.144,7.87649,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2013,4,13.5,0.3275,2.0485,2.461,17.60172,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2013,4,11.46666667,0.286333333,9.397,4.356666667,6.175903333,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2013,4,6.8,0.305,4.654333333,4.719333333,25.94522333,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2013,4,11.96666667,0.242333333,8.691333333,3.949666667,15.63541667,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2014,4,11.65,0.1145,3.9645,2.325,13.822,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2014,4,7.85,0.145,1.752,2.832,2.50756,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2014,4,7.95,0.2475,4.7675,4.3155,44.91892,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2014,4,4.7,0.1375,1.6165,4.511,2.72104,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2014,4,16.45,0.157,1.7465,3.2665,11.97184,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2014,4,16.7,0.413,2.7405,3.2505,18.16276,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2014,4,11.75,0.231,6.9895,4.6435,3.21916,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2014,4,9.25,0.1665,3.1535,5.0645,25.99036,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2014,4,11.75,0.355,5.488,3.577,15.67216,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2015,4,13.85,0.1225,2.575,0.358,49.95871,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2015,4,8.65,0.1625,1.257,3.137,11.7888,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2015,4,7.8,0.074,4.2755,3.4265,31.2862,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2015,4,7.3,0.0705,1.246,3.951,19.06283,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2015,4,16.35,0.58,2.434,3.1925,18.68788,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2015,4,16.1,0.374,1.7465,2.1205,13.13862,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2015,4,12.85,0.1165,5.2755,1.9295,33.31093,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2015,4,8.1,0.135,3.3515,4.2545,50.70861,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2015,4,13.85,0.2145,5.914,0.542,128.84819,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2016,4,11.75,0.073,4.723,1.438,5.86644,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2016,4,11.15,0.0915,1.1065,1.656,4.36043,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2016,4,10,0.0705,8.0485,5.122,30.97926,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2016,4,8.5,0.0565,1.289,3.7045,12.03132,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2016,4,16.85,0.121,1.212,2.6025,2.27525,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2016,4,13.4,0.505,3.369,3.727,13.02858,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2016,4,12.05,0.15,10.219,3.208,11.3967,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2016,4,11.15,0.0945,6.1945,3.8505,33.88038,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2016,4,11.85,0.145,9.9245,1.866,61.44102,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2017,4,11.25,0.1845,6.2905,4.3175,3.48844,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2017,4,10.15,0.117,1.2035,2.6355,2.63806,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2017,4,10.65,0.109,5.536,4.3565,56.211815,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2017,4,9.2,0.0705,1.2875,4.0975,9.363775,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2017,4,16.75,0.2925,3.034,3.4495,20.032135,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2017,4,16.95,0.2915,2.0715,2.5695,13.46104,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2017,4,12.65,0.388,9.701,4.185,13.22912,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2017,4,12.05,0.0695,4.0535,4.309,29.77282,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2017,4,12.35,0.2805,7.4765,4.0845,12.842585,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2018,4,5.5,0.0455,2.153,1.1045,2.3117,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2018,4,4.966666667,0.175333333,1.538,2.713,7.5949,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2018,4,2.75,0.1475,5.5245,6.402,15.10695,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2018,4,3.4,0.099,1.7755,5.527,2.88955,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2018,4,9.5,0.1975,1.9035,3.572,7.76,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2018,4,10.15,0.286,2.0005,3.2805,8.4204,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2018,4,5.1,0.1455,7.5815,2.4765,21.71095,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2018,4,3,0.221,5.5445,6.59,10.81435,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2018,4,4.5,0.1435,7.259,2.7725,23.2794,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",1998,5,18.9,0.122,5.2195,1.506,13.911175,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"Maquotketa",1998,5,18.35,-0.001,8.1655,3.3755,22.23165,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Wapsipinicon",1998,5,19.9,0.1785,8.4805,1.0555,82.53394,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",1999,5,16.05,0.3075,6.507,3.386,6.332085,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",1999,5,16,0.156,1.192,3.8165,17.52939,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",1999,5,15.6,0.14,5.216,3.957,29.897145,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",1999,5,16.65,0.1125,1.185,3.1575,21.547935,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",1999,5,20.45,0.2065,1.8925,3.1865,16.866135,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",1999,5,21.4,0.2705,2.105,2.38,50.575095,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",1999,5,16.45,0.6355,10.45,4.669,8.204805,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",1999,5,16,0.155,4.6855,4.5795,18.15363,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",1999,5,17.3,0.2295,9.6755,3.628,15.50061,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2000,5,18,0.196,6.042,3.0945,1.74635,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2000,5,17.5,0.122,1.014,3.405,29.75998,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2000,5,18.9,0.145,3.522,2.25,6.80726,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2000,5,16.5,0.072,1.0665,2.656,25.32374,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2000,5,20.65,0.184,3.7105,1.7845,14.66931,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2000,5,21.3,0.6695,4.2735,3.869,6.32506,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2000,5,18.26666667,0.308,9.527666667,4.752666667,13.81523333,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Vermillion",2000,5,23,0.266,2.883,3.454,175.1915,1.970411429,20.7456958,8.266456649,1.888464644,11.70971697,48.19168769,4.678044841,902.781
"Wapsipinicon",2000,5,18.36666667,0.304333333,8.318,2.662333333,73.22227333,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2001,5,17.8,0.086,4.328,1.6455,42.48395,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2001,5,16.5,0.162,1.488,2.22,11.12305,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Chippewa",2001,5,15.45,0.137,2.595,3.529,17.509965,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2001,5,21.2,0.142,2.3525,3.3815,21.410955,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2001,5,20.6,0.206,2.025,1.132,39.57733,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2001,5,17.93333333,0.217,10.004,4.313333333,31.46939,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
"Wapsipinicon",2001,5,17.36666667,0.182666667,8.787666667,2.777,77.43988,0.515168759,5.316577151,2.858345549,0.931242407,5.93367192,78.50985898,4.3572309,6580.9503
"Apple",2002,5,17.1,0.125,4.8935,2.108,7.1999,0.383979859,5.042414342,16.38309572,6.861635169,24.63266511,45.98081314,0.22777324,667.7694
"BlackRiver",2002,5,20.9,0.149,1.14,1.847,28.9699,0.897900259,4.057105281,28.12362591,15.89915941,2.9092562,29.90882383,15.84224507,5882.5242
"Cannon",2002,5,15.15,0.104,4.446,2.2895,27.33715,2.900545666,7.214128004,8.67044935,1.038217862,9.909496757,63.2913127,4.601004857,3809.2005
"Chippewa",2002,5,13.2,0.0625,1.0855,3.1255,14.1974,3.664948632,4.292182919,30.57631151,9.855514586,5.674394468,19.94555294,24.36555166,24717.3669
"Cuivre",2002,5,18.4,0.139,2.5615,4.735,18.16265,0.584736302,6.189826457,19.71411576,7.736916589,19.49081539,44.31219765,1.365540533,3192.516
"Dardenne",2002,5,19.75,0.2645,2.051,3.5285,21.855775,1.521785791,47.12234385,10.80317665,10.52650783,9.882378193,15.5380983,3.743292552,419.31
"Maquotketa",2002,5,16.06666667,0.205666667,7.938333333,3.838,17.25556667,0.427744182,5.086396259,8.214706505,3.128923513,12.46494159,67.92617385,0.497043311,4842.918
